make,model,year,bodytype,trim,price,mpg_city,mpg_hwy,mpg_comb,Fuel Type,hp,Engine,torque_lbft,cargo_cuft,0 - 60,curb_weight_lbs,Drivetrain,Transmission Type,Recommended Fuel,Fuel Capacity,Wheel Base,Overall Length,Front Head Room,Front Leg Room,Front Shoulder Room,Width with mirrors,Turning Diameter,Blind-Spot Alert,Collision Warning System,Child Seat Anchors,Child Door Locks,Traction Control,Bluetooth Wireless Technology,Cruise Control,Remote Keyless Entry,Remote Engine Start,Smartphone Interface,Internet Access,Navigation System,Voice Recognition System,Real-Time Traffic Information,Hands Free Phone,Premium Radio,Bluetooth Streaming Audio,Satellite Radio,Remote Control Liftgate/Trunk Release,Heated Mirrors,Leather Seats,Folding Rear Seat,Dual Power Front Seats,Power Driver's Seat,Leather-Wrapped Steering Wheel,Power Outlet,Power Windows,Rear Window Defroster,Steering Wheel Controls,Tilt Steering Wheel,Tilt/Telescoping Steering Wheel,Cup Holder Count,Alloy Wheels,Fog Lights,Power Folding Exterior Mirrors,Rear Spoiler,Rain Sensing Windshield Wipers,Alarm System,Dual-Clutch Automatic Transmission,Hill Start Assist,Stability Control
Toyota,Corolla,2020,Default,Corolla SE Nightshade Edition Sedan 4D,16500,31,40,34,Gas,169,"4-Cyl, 2.0 Liter",151,13.1,,3110,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.5 inches,38.3 inches,42 inches,54 inches,70.1 inches,35.6 feet,Not Available,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Not Available,Standard,Standard,,Standard,,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,,,Standard,Standard
Toyota,Corolla,2020,Default,Corolla XLE Sedan 4D,16550,29,37,32,Gas,139,"4-Cyl, 1.8 Liter",126,13.1,,3150,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.3 inches,38 inches,42 inches,54 inches,70.1 inches,35.6 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Not Available,,,,Standard,Standard
Toyota,Corolla,2020,Default,Corolla XSE Sedan 4D,18050,31,38,34,Gas,169,"4-Cyl, 2.0 Liter",151,13.1,,3045,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.5 inches,38 inches,42 inches,54 inches,70.1 inches,35.6 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,,,Standard,Standard
Toyota,Corolla,2023,Default,Corolla LE Sedan 4D,18750,32,41,35,Gas,169,"4-Cyl, Dynamic-Force, 2.0 Liter",151,13.1,,2955,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.3 inches,38.3 inches,42 inches,54 inches,70.1 inches,35.6 feet,Optional,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,,Standard,,Standard,Not Available,Standard,Standard,Standard,Standard,,Standard,,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Optional,,,Optional,,,,Standard,Standard
Toyota,Corolla,2023,Default,Corolla SE Sedan 4D,20300,31,40,34,Gas,169,"4-Cyl, Dynamic-Force, 2.0 Liter",151,13.1,,3110,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.3 inches,38.3 inches,42 inches,54 inches,70.1 inches,35.6 feet,Optional,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,,Standard,,Standard,Optional,Standard,Standard,Standard,Standard,,Standard,,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,,,Standard,Standard
Toyota,Corolla,2023,Default,Corolla XSE Sedan 4D,21600,31,40,34,Gas,169,"4-Cyl, Dynamic-Force, 2.0 Liter",151,13.1,,3150,FWD,Automatic,Regular,13.2 gallons,106.3 inches,182.3 inches,38 inches,42 inches,54 inches,70.1 inches,35.6 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,,Standard,,Standard,Optional,Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,,,Standard,Standard
Toyota,RAV4,2017,Default,RAV4 LE Sport Utility 4D,15900,22,28,25,Gas,176,"4-Cyl, 2.5 Liter",172,73.4,,3570,AWD,Automatic,Regular,15.9 gallons,104.7 inches,183.5 inches,39.8 inches,42.6 inches,57.3 inches,72.6 inches,34.8 feet,Not Available,,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Optional,Optional,Optional,Standard,Not Available,Standard,Standard,Standard,Optional,,Not Available,,Standard,,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Optional,Not Available,Standard,,Optional,,Standard,Standard
Toyota,RAV4,2017,Default,RAV4 XLE Sport Utility 4D,16550,22,28,25,Gas,176,"4-Cyl, 2.5 Liter",172,73.4,,3605,AWD,Automatic,Regular,15.9 gallons,104.7 inches,183.5 inches,38.9 inches,42.6 inches,57.3 inches,72.6 inches,34.8 feet,Optional,,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,,Standard,,Standard,,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Standard,,Optional,,Standard,Standard
Toyota,RAV4,2017,Default,RAV4 SE Sport Utility 4D,17350,22,28,24,Gas,176,"4-Cyl, 2.5 Liter",172,70.6,,,AWD,Automatic,Regular,15.9 gallons,104.7 inches,183.5 inches,38.9 inches,42.6 inches,57.3 inches,72.6 inches,36.7 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Not Available,,Standard,Standard
Toyota,RAV4,2017,Default,RAV4 Limited Sport Utility 4D,18150,22,28,24,Gas,176,"4-Cyl, 2.5 Liter",172,73.4,,3630,AWD,Automatic,Regular,15.9 gallons,104.7 inches,183.5 inches,38.9 inches,42.6 inches,57.3 inches,72.6 inches,36.8 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Not Available,Standard,,Optional,,Standard,Standard
Toyota,RAV4,2017,Default,RAV4 Platinum Sport Utility 4D,19400,22,28,24,Gas,176,"4-Cyl, 2.5 Liter",172,73.4,,3630,AWD,Automatic,Regular,15.9 gallons,104.7 inches,183.5 inches,38.9 inches,42.6 inches,57.3 inches,72.6 inches,36.8 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Standard,Not Available,Standard,,Not Available,,Standard,Standard
Toyota,RAV4,2020,Default,RAV4 LE Sport Utility 4D,21400,27,34,30,Gas,203,"4-Cyl, 2.5 Liter",184,69.8,,3490,AWD,Automatic,Regular,14.5 gallons,105.9 inches,180.9 inches,37.7 inches,41 inches,57.8 inches,73 inches,36.1 feet,Optional,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Not Available,Standard,,Standard,Not Available,Standard,Standard,,Not Available,,Standard,,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,,Standard,Not Available,Not Available,,Standard,Standard
Toyota,RAV4,2020,Default,RAV4 XLE Sport Utility 4D,22800,25,33,28,Gas,203,"4-Cyl, 2.5 Liter",184,69.8,,3490,AWD,Automatic,Regular,14.5 gallons,105.9 inches,180.9 inches,37.7 inches,41 inches,57.8 inches,73 inches,36.1 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Not Available,Standard,,Standard,Not Available,Standard,Standard,,Standard,,Standard,,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Optional,Not Available,,Standard,Standard
Toyota,RAV4,2020,Default,RAV4 XLE Premium Sport Utility 4D,24600,25,33,28,Gas,203,"4-Cyl, 2.5 Liter",184,69.8,,3490,AWD,Automatic,Regular,14.5 gallons,105.9 inches,180.9 inches,37.7 inches,41 inches,57.8 inches,73 inches,37.4 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Not Available,Standard,,Standard,Optional,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Standard,,Standard,Optional,Not Available,,Standard,Standard
Toyota,RAV4,2020,Default,RAV4 Adventure Sport Utility 4D,25000,25,33,28,Gas,203,"4-Cyl, 2.5 Liter",184,69.8,,3615,AWD,Automatic,Regular,14.5 gallons,105.9 inches,181.5 inches,37.7 inches,41 inches,57.8 inches,73.4 inches,37.4 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Optional,Standard,,Standard,Optional,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Optional,Standard,,Standard,Standard
Toyota,RAV4,2020,Default,RAV4 Limited Sport Utility 4D,26100,25,33,28,Gas,203,"4-Cyl, 2.5 Liter",184,69.8,,3620,AWD,Automatic,Regular,14.5 gallons,105.9 inches,180.9 inches,37.7 inches,41 inches,57.8 inches,73 inches,37.4 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Optional,Standard,,Standard,Standard
Toyota,RAV4,2020,Default,RAV4 TRD Off-Road Sport Utility 4D,27400,25,33,28,Gas,203,"4-Cyl, 2.5 Liter",184,69.8,,3655,AWD,Automatic,Regular,14.5 gallons,105.9 inches,181.5 inches,37.7 inches,41 inches,57.8 inches,73.4 inches,37.4 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Optional,Standard,,Standard,Optional,Standard,Standard,,Standard,,Standard,,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Optional,Standard,,Standard,Standard
Toyota,RAV4,2023,Default,RAV4 LE Sport Utility 4D,25600,27,34,30,Gas,203,"4-Cyl, Dynamic-Force, 2.5 Liter",184,69.8,,3510,AWD,Automatic,Regular,14.5 gallons,105.9 inches,180.9 inches,37.7 inches,41 inches,57.8 inches,73 inches,36.1 feet,Optional,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Not Available,Standard,Standard,,Optional,,Standard,,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,,Standard,Not Available,Not Available,,Standard,Standard
Toyota,RAV4,2023,Default,RAV4 XLE Sport Utility 4D,28100,27,33,29,Gas,203,"4-Cyl, Dynamic-Force, 2.5 Liter",184,69.8,,3560,AWD,Automatic,Regular,14.5 gallons,105.9 inches,180.9 inches,37.7 inches,41 inches,57.8 inches,73 inches,36.1 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Not Available,Standard,Standard,,Standard,,Standard,,Standard,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,,Standard,Optional,Not Available,,Standard,Standard
Toyota,RAV4,2023,Default,RAV4 Adventure Sport Utility 4D,28300,25,33,28,Gas,203,"4-Cyl, Dynamic-Force, 2.5 Liter",184,69.8,,3680,AWD,Automatic,Regular,14.5 gallons,105.9 inches,181.5 inches,37.7 inches,41 inches,57.8 inches,73.4 inches,37.4 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Optional,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Optional,Not Available,,Standard,Standard
Toyota,RAV4,2023,Default,RAV4 Limited Sport Utility 4D,30900,25,33,28,Gas,203,"4-Cyl, Dynamic-Force, 2.5 Liter",184,69.8,,3690,AWD,Automatic,Regular,14.5 gallons,105.9 inches,180.9 inches,37.7 inches,41 inches,57.8 inches,73 inches,37.4 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Optional,Standard,,Standard,Standard
Toyota,RAV4,2023,Default,RAV4 XLE Premium Sport Utility 4D,31000,27,33,29,Gas,203,"4-Cyl, Dynamic-Force, 2.5 Liter",184,69.8,,3560,AWD,Automatic,Regular,14.5 gallons,105.9 inches,180.9 inches,37.7 inches,41 inches,57.8 inches,73 inches,37.4 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Optional,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Optional,Not Available,,Standard,Standard
Toyota,RAV4,2023,Default,RAV4 TRD Off-Road Sport Utility 4D,33000,25,32,28,Gas,203,"4-Cyl, Dynamic-Force, 2.5 Liter",184,69.8,,3680,AWD,Automatic,Regular,14.5 gallons,105.9 inches,181.5 inches,37.7 inches,41 inches,57.8 inches,73.4 inches,37.4 feet,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Not Available,Standard,Standard,,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Optional,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic LX Sedan 4D,13750,31,40,34,Gas,158,"4-Cyl, i-VTEC, 2.0 Liter",138,15.1,,2751,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,39.3 inches,42.3 inches,57 inches,70.8 inches,35.7 feet,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,Not Available,Not Available,Not Available,,Standard,Not Available,Standard,Not Available,,Not Available,Not Available,Standard,Not Available,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,,Not Available,Not Available,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic LX w/Honda Sensing Sedan 4D,13900,31,40,34,Gas,158,"4-Cyl, i-VTEC, 2.0 Liter",138,15.1,,,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,39.3 inches,42.3 inches,57 inches,70.8 inches,35.7 feet,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,Not Available,Not Available,Not Available,,Standard,Not Available,Standard,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,,Not Available,Not Available,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic EX-T w/Honda Sensing Sedan 4D,14750,32,42,36,Gas,174,"4-Cyl, Turbo, 1.5 Liter",162,15.1,,,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,37.5 inches,42.3 inches,56.9 inches,70.8 inches,35.7 feet,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,,Standard,Not Available,Standard,Standard,,Standard,Not Available,Standard,Not Available,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Not Available,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic EX w/Honda Sensing Sedan 4D,15050,31,40,34,Gas,158,"4-Cyl, i-VTEC, 2.0 Liter",138,15.1,,,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,37.5 inches,42.3 inches,56.9 inches,70.8 inches,35.7 feet,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Standard,Standard,Not Available,Not Available,,Standard,Not Available,Standard,Standard,,Standard,Not Available,Standard,Not Available,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,,Not Available,Not Available,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic EX-L w/Honda Sensing Sedan 4D,15050,32,42,36,Gas,174,"4-Cyl, Turbo, 1.5 Liter",162,15.1,,,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,37.5 inches,42.3 inches,56.9 inches,70.8 inches,35.7 feet,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,,Standard,Not Available,Standard,Not Available,,Standard,Standard,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Not Available,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic EX Sedan 4D,15200,31,40,34,Gas,158,"4-Cyl, i-VTEC, 2.0 Liter",138,15.1,,2795,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,37.5 inches,42.3 inches,56.9 inches,70.8 inches,35.7 feet,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Standard,Standard,Not Available,Not Available,,Standard,Not Available,Standard,Standard,,Standard,Not Available,Standard,Not Available,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,,Not Available,Not Available,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic EX-T Sedan 4D,15400,32,42,36,Gas,174,"4-Cyl, Turbo, 1.5 Liter",167,15.1,,2899,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,37.5 inches,42.3 inches,56.9 inches,70.8 inches,35.7 feet,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,,Standard,Not Available,Standard,Standard,,Standard,Not Available,Standard,Not Available,Not Available,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Not Available,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic EX-L w/Navigation Sedan 4D,15550,32,42,36,Gas,174,"4-Cyl, Turbo, 1.5 Liter",162,15.1,,,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,37.5 inches,42.3 inches,56.9 inches,70.8 inches,35.7 feet,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Not Available,Standard,Standard,,Standard,Standard,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Not Available,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic EX-L Sedan 4D,15600,32,42,36,Gas,174,"4-Cyl, Turbo, 1.5 Liter",162,15.1,,2910,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,37.5 inches,42.3 inches,56.9 inches,70.8 inches,35.7 feet,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Not Available,Not Available,,Standard,Not Available,Standard,Standard,,Standard,Standard,Standard,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Not Available,Standard,,Standard,Standard
Honda,Civic,2017,Sedan,Civic Touring Sedan 4D,16350,32,42,36,Gas,174,"4-Cyl, Turbo, 1.5 Liter",162,14.7,,2923,FWD,Automatic,Regular,12.4 gallons,106.3 inches,182.3 inches,37.5 inches,42.3 inches,56.9 inches,70.8 inches,35.7 feet,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,,Standard,Standard
